關卡,一,二,,,,,
關主,,,,,,,
開始時間,1005,1005,1005,1005,1005,1005,1005
,,,,,,,
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",2,2,1,3,4,1,4
開始佔領時間(格式: hhmm 如1330),1009,1014,1010,1019,1018,1012,1011
紀錄(幾秒或幾分或回合),0:39,10.23,6,7,9,47,
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",1,,,1,3,3,
開始佔領時間(格式: hhmm 如1330),1018,,1039,1041,1025,1016,
紀錄(幾秒或幾分或回合),1:04,,,9,11,40,
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",3,,,,4,2,
開始佔領時間(格式: hhmm 如1330),1029,,,,1034,1022,
紀錄(幾秒或幾分或回合),1:16,,,,12,39,
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",,,,,,4,
開始佔領時間(格式: hhmm 如1330),,,,,,1039,
紀錄(幾秒或幾分或回合),,,,,,23,
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",,,,,,,
開始佔領時間(格式: hhmm 如1330),,,,,,,
紀錄(幾秒或幾分或回合),,,,,,,
,,,,,,,
"第幾小隊(1,2,3,4 不要有中文)",,,,,,,
開始佔領時間(格式: hhmm 如1330),,,,,,,
紀錄(幾秒或幾分或回合),,,,,,,
,,,,,,,
,,,,,,,
結束時間,1043,1043,1039,1043,1043,1043,1043